City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ust-nera,64.5667,143.2,0.97,87,84,5.88,RU,1695073824
1,krasnovishersk,60.4078,57.082,9.33,90,93,10.02,RU,1695073824
2,college,64.8569,-147.8028,6.97,86,100,3.44,US,1695073824
3,bredasdorp,-34.5322,20.0403,9.58,92,58,4.29,ZA,1695073824
4,jamestown,42.097,-79.2353,18.03,66,75,10.36,US,1695073824
5,naze,28.3667,129.4833,23.51,80,9,2.73,JP,1695073824
6,vilhena,-12.7406,-60.1458,26.12,69,75,9.22,BR,1695073689
7,pangody,65.85,74.4859,4.27,71,97,10.67,RU,1695073796
8,goderich,43.7501,-81.7165,16.62,72,41,12.66,CA,1695073825
9,blackmans bay,-43.0167,147.3167,14.85,60,80,11.23,AU,1695073825
10,port-aux-francais,-49.35,70.2167,4.31,83,77,30.78,TF,1695073825
11,burang,30.25,81.1667,7.96,93,98,3.78,CN,1695073825
12,mount gambier,-37.8333,140.7667,12.69,78,26,10.0,AU,1695073825
13,kodiak,57.79,-152.4072,11.73,58,0,25.32,US,1695073825
14,ancud,-41.8697,-73.8203,6.9,66,70,6.42,CL,1695073825
15,isafjordur,66.0755,-23.124,7.38,96,100,41.63,IS,1695073825
16,albany,42.6001,-73.9662,17.12,94,100,1.99,US,1695073826
17,iqaluit,63.7506,-68.5145,1.85,69,75,3.44,CA,1695073826
18,puerto armuelles,8.2833,-82.8667,27.27,72,100,1.01,PA,1695073826
19,edinburgh of the seven seas,-37.0676,-12.3116,12.64,80,70,21.03,SH,1695073826
20,utrik,11.2278,169.8474,27.98,78,97,8.81,MH,1695073826
21,ende,-8.8432,121.6623,23.61,84,70,0.96,ID,1695073826
22,thompson,55.7435,-97.8558,23.09,49,0,8.05,CA,1695073826
23,hammerfest,70.6634,23.6821,4.25,93,75,1.14,NO,1695073826
24,puerto ayora,-0.7393,-90.3518,27.98,92,77,5.99,EC,1695073686
25,maceio,-9.6658,-35.7353,25.69,78,75,9.22,BR,1695073762
26,west island,-12.1568,96.8225,24.99,73,75,14.97,CC,1695073826
27,grytviken,-54.2811,-36.5092,-3.39,82,88,13.62,GS,1695073827
28,karratha,-20.7377,116.8463,22.3,53,53,7.78,AU,1695073827
29,ilulissat,69.2167,-51.1,1.01,64,20,0.0,GL,1695073651
30,atafu village,-8.5421,-172.5159,28.66,76,9,15.57,TK,1695073827
31,praia da vitoria,38.7333,-27.0667,20.42,83,20,2.71,PT,1695073827
32,pisco,-13.7,-76.2167,22.03,68,0,9.22,PE,1695073827
33,georgetown,5.4112,100.3354,24.97,97,20,4.61,MY,1695073640
34,waitangi,-43.9535,-176.5597,12.12,78,2,14.0,NZ,1695073827
35,kapuskasing,49.4169,-82.4331,15.05,29,20,6.91,CA,1695073827
36,san rafael del yuma,18.4299,-68.6739,32.11,69,91,7.7,DO,1695073827
37,yellowknife,62.456,-114.3525,14.67,86,75,15.01,CA,1695073827
38,papatowai,-46.5619,169.4708,11.6,56,22,10.33,NZ,1695073828
39,guerrero negro,27.9769,-114.0611,22.98,59,0,18.88,MX,1695073828
40,invercargill,-46.4,168.35,12.23,67,20,8.01,NZ,1695073828
41,hofors,60.5457,16.2867,13.17,93,100,8.68,SE,1695073828
42,taiyuan,37.8694,112.5603,18.92,63,0,6.71,CN,1695073828
43,san jose del guaviare,2.5729,-72.6459,26.25,87,98,3.89,CO,1695073828
44,gamay,12.3854,125.2979,25.91,87,78,3.27,PH,1695073828
45,nuuk,64.1835,-51.7216,3.82,60,24,4.0,GL,1695073828
46,ola,59.5833,151.2833,6.97,59,100,5.48,RU,1695073828
47,afaahiti,-17.75,-149.2833,25.93,89,97,13.73,PF,1695073828
48,wailua homesteads,22.0669,-159.378,28.44,69,40,14.97,US,1695073829
49,avarua,-21.2078,-159.775,24.03,53,75,6.91,CK,1695073829
50,demba,-5.51,22.2667,21.82,83,98,1.66,CD,1695073829
51,khandyga,62.6667,135.6,1.12,95,99,4.25,RU,1695073829
52,biloela,-24.4167,150.5,18.64,60,0,5.01,AU,1695073829
53,machina,13.1364,10.0492,26.86,55,13,6.82,NG,1695073829
54,iskateley,67.6803,53.1512,6.55,96,100,15.23,RU,1695073829
55,al quwayrah,29.8004,35.3116,24.0,39,0,1.45,JO,1695073829
56,ma'rib,15.4591,45.3253,27.67,16,95,3.38,YE,1695073829
57,bilibino,68.0546,166.4372,1.51,80,97,0.92,RU,1695073829
58,bodo,67.28,14.405,9.87,72,0,11.5,NO,1695073830
59,puerto natales,-51.7236,-72.4875,2.44,68,100,3.89,CL,1695073830
60,klyuchi,52.2667,79.1667,13.58,86,100,0.87,RU,1695073830
61,longyearbyen,78.2186,15.6401,-3.09,74,20,3.44,SJ,1695073830
62,qaqortoq,60.7167,-46.0333,3.73,64,0,4.94,GL,1695073830
63,alaghsas,17.0187,8.0168,32.61,36,80,10.45,NE,1695073830
64,adamstown,-25.066,-130.1015,18.23,60,56,2.17,PN,1695073830
65,enewetak,11.3474,162.3373,27.09,85,100,19.39,MH,1695073830
66,kill devil hills,36.0307,-75.676,23.32,68,100,0.0,US,1695073830
67,almus,40.3758,36.9044,8.82,93,0,3.0,TR,1695073831
68,ustka,54.5805,16.8619,19.8,65,100,10.33,PL,1695073831
69,margaret river,-33.95,115.0667,14.24,79,100,13.38,AU,1695073831
70,weno,7.4515,151.8468,26.97,100,100,0.0,FM,1695073831
71,anadyr,64.75,177.4833,4.28,86,0,8.95,RU,1695073831
72,awjilah,29.1081,21.2869,24.71,65,0,12.5,LY,1695073831
73,portland,45.5234,-122.6762,24.41,42,20,12.66,US,1695073682
74,nova sintra,14.8667,-24.7167,22.73,76,57,12.03,CV,1695073831
75,namtsy,62.7161,129.6658,-1.0,84,42,11.39,RU,1695073831
76,raja,8.4596,25.678,20.71,92,71,1.23,SS,1695073832
77,shohimardon,39.9839,71.8028,11.43,53,0,1.19,UZ,1695073832
78,chonchi,-42.6128,-73.8092,7.29,79,60,2.48,CL,1695073832
79,puerto baquerizo moreno,-0.9,-89.6,26.55,74,75,11.5,EC,1695073832
80,dabou,5.3256,-4.3769,24.11,94,87,6.53,CI,1695073832
81,san patricio,28.017,-97.5169,35.4,37,14,15.77,US,1695073832
82,presidente medici,-11.1753,-61.9014,32.17,42,74,5.93,BR,1695073832
83,ta`u,-14.2336,-169.5144,26.22,80,97,26.82,AS,1695073832
84,fort st. john,56.2499,-120.8529,15.94,36,40,25.32,CA,1695073832
85,nyandoma,61.669,40.1991,2.92,95,85,2.82,RU,1695073832
86,port elizabeth,-33.918,25.5701,14.16,82,75,6.91,ZA,1695073833
87,dudinka,69.4058,86.1778,2.57,97,100,16.24,RU,1695073833
88,tamanrasset,22.785,5.5228,23.95,14,0,4.61,DZ,1695073833
89,yeppoon,-23.1333,150.7333,18.88,54,73,10.27,AU,1695073833
90,bethel,41.3712,-73.414,20.2,87,100,7.14,US,1695073833
91,kourou,5.1552,-52.6478,30.03,88,57,7.83,GF,1695073833
92,hithadhoo,-0.6,73.0833,28.04,76,100,14.58,MV,1695073833
93,as sulayyil,20.4607,45.5779,34.14,15,84,7.78,SA,1695073833
94,carloforte,39.145,8.3058,25.89,65,82,3.74,IT,1695073833
95,arkhangel'sk,64.5401,40.5433,3.49,92,13,5.5,RU,1695073829
96,palmer,42.1584,-72.3287,19.23,84,100,5.75,US,1695073834
97,kuandian,40.7286,124.7847,16.22,98,76,2.24,CN,1695073834
98,vorgashor,67.5833,63.95,4.74,86,100,12.01,RU,1695073834
99,hasaki,35.7333,140.8333,26.27,81,4,14.72,JP,1695073674
100,petropavlovsk-kamchatsky,53.0452,158.6483,4.33,75,0,6.71,RU,1695073680
101,afif,23.9065,42.9172,29.33,18,41,2.98,SA,1695073834
102,karlskrona,56.1616,15.5866,19.25,89,100,13.76,SE,1695073633
103,dunedin,-45.8742,170.5036,13.93,60,32,3.0,NZ,1695073834
104,abepura,-2.6333,140.5833,25.45,83,40,0.0,ID,1695073834
105,astrakhan,46.3497,48.0408,15.93,67,0,7.0,RU,1695073535
106,taoudenni,22.6783,-3.9836,37.86,12,26,11.05,ML,1695073835
107,borisoglebskiy,57.2586,39.1508,6.65,87,53,2.19,RU,1695073835
108,howrah,22.5892,88.3103,27.0,89,75,4.61,IN,1695073835
109,port mathurin,-19.6833,63.4167,22.96,80,7,20.96,MU,1695073835
110,naama,33.2667,-0.3167,24.63,19,50,10.13,DZ,1695073835
111,hawaiian paradise park,19.5933,-154.9731,28.26,78,100,5.75,US,1695073835
112,perugorria,-29.3413,-58.6106,15.04,94,100,14.76,AR,1695073835
113,st. john's,47.5649,-52.7093,13.49,87,40,18.01,CA,1695073835
114,nantucket,41.2835,-70.0995,20.01,95,100,16.11,US,1695073835
115,port moresby,-9.4431,147.1797,21.68,88,20,4.61,PG,1695073835
116,taksimo,56.3444,114.8794,1.05,79,19,1.1,RU,1695073836
117,newman,37.3138,-121.0208,29.47,30,0,1.74,US,1695073836
118,kone,-21.0595,164.8658,24.43,69,2,4.85,NC,1695073836
119,elmali,36.7358,29.9177,17.71,53,12,2.35,TR,1695073836
120,parras de la fuente,25.4167,-102.1833,26.36,38,80,7.85,MX,1695073836
121,masterton,-40.9597,175.6575,13.82,65,19,12.08,NZ,1695073836
122,colonia general alfredo stroessner,-25.3667,-55.7,27.86,52,61,5.17,PY,1695073836
123,ushuaia,-54.8,-68.3,2.81,56,75,18.41,AR,1695073763
124,polonnaruwa,7.9333,81.0,23.88,83,100,5.64,LK,1695073836
125,igarka,67.4667,86.5833,2.74,90,100,14.25,RU,1695073836
126,whitehorse,60.7161,-135.0538,10.57,71,75,11.5,CA,1695073837
127,tralee,52.2704,-9.7026,13.3,86,100,9.86,IE,1695073837
128,sitka,57.0531,-135.33,12.94,71,100,10.36,US,1695073837
129,puerto colombia,10.9878,-74.9547,25.05,80,100,15.23,CO,1695073837
130,natal,-5.795,-35.2094,26.36,83,75,12.66,BR,1695073827
131,lebu,-37.6167,-73.65,8.77,64,1,17.56,CL,1695073837
132,luderitz,-26.6481,15.1594,14.22,75,0,14.12,NA,1695073837
133,ribeira grande,38.5167,-28.7,21.54,75,22,5.99,PT,1695073837
134,mamuju,-2.6748,118.8885,24.72,86,10,3.24,ID,1695073837
135,san lawrenz,36.0553,14.204,25.48,76,84,5.14,MT,1695073838
136,cockburn town,21.4612,-71.1419,30.98,62,40,9.22,TC,1695073838
137,ulladulla,-35.35,150.4667,26.03,31,69,6.78,AU,1695073758
138,mili,6.0815,171.735,26.89,82,100,7.02,MH,1695073838
139,acapulco de juarez,16.8634,-99.8901,30.56,65,8,10.07,MX,1695073838
140,ust'-ilimsk,58.0006,102.6619,7.78,95,92,4.56,RU,1695073838
141,punta arenas,-53.15,-70.9167,4.06,48,75,13.8,CL,1695073838
142,lepsy,46.235,78.9456,15.37,55,41,6.93,KZ,1695073838
143,vilyuchinsk,52.9306,158.4028,5.15,60,12,2.71,RU,1695073838
144,gamba,-2.65,10.0,23.57,86,97,6.22,GA,1695073839
145,antsohihy,-14.8796,47.9875,22.25,68,0,4.25,MG,1695073839
146,ndele,8.4109,20.6473,21.42,96,100,2.19,CF,1695073839
147,ekuvukeni,-28.4675,30.1551,14.38,60,0,1.77,ZA,1695073839
148,moses lake,47.1301,-119.2781,26.38,24,0,16.11,US,1695073839
149,orbetello,42.4408,11.2196,22.01,87,98,5.82,IT,1695073839
150,roleystone,-32.1167,116.0667,15.1,79,100,11.5,AU,1695073839
151,tsiombe,-25.3,45.4833,21.41,82,100,11.72,MG,1695073839
152,solnechnyy,50.7214,136.6319,9.54,98,98,5.48,RU,1695073839
153,harper,4.375,-7.7169,25.63,86,100,9.15,LR,1695073840
154,akonolinga,3.7667,12.25,20.18,95,100,2.44,CM,1695073840
155,east london,-33.0153,27.9116,15.36,75,26,6.29,ZA,1695073817
156,fortaleza,-3.7227,-38.5247,27.07,78,20,14.97,BR,1695073769
157,olonkinbyen,70.9221,-8.7187,3.81,67,39,19.19,SJ,1695073840
158,tofol,5.3248,163.0078,28.9,74,100,9.19,FM,1695073840
159,san antonio,29.4241,-98.4936,37.21,34,40,6.91,US,1695073840
160,tolanaro,-25.0319,46.9987,21.04,88,20,9.22,MG,1695073840
161,nshamba,-1.7983,31.5511,19.92,73,100,3.89,TZ,1695073840
162,lander,42.833,-108.7307,26.73,15,0,10.36,US,1695073840
163,bulawayo,-20.15,28.5833,16.28,69,0,8.14,ZW,1695073841
164,puerto varas,-41.3195,-72.9854,7.12,81,75,4.61,CL,1695073841
165,revda,56.801,59.9303,11.2,88,55,5.46,RU,1695073841
166,dalby,-27.1833,151.2667,16.2,62,0,6.53,AU,1695073841
167,colonia,50.9333,6.95,18.31,84,0,8.05,DE,1695073723
168,smithers,54.7804,-127.1743,14.18,47,75,3.44,CA,1695073841
169,capao bonito,-24.0058,-48.3494,20.47,81,99,5.95,BR,1695073841
170,villa de san antonio,14.3167,-87.6167,31.67,38,87,6.64,HN,1695073841
171,moranbah,-22.0016,148.0466,19.42,70,87,11.36,AU,1695073841
172,burgersdorp,-30.9977,26.3286,10.4,23,0,1.34,ZA,1695073841
173,nkove,-7.95,30.85,25.74,46,6,5.01,TZ,1695073842
174,conceicao do mato dentro,-19.0372,-43.425,22.16,51,87,4.85,BR,1695073842
175,taunggyi,20.7833,97.0333,17.8,98,100,3.29,MM,1695073842
176,nemuro,43.3236,145.575,16.49,97,100,5.01,JP,1695073842
177,torghay,49.6339,63.4981,15.93,62,100,7.87,KZ,1695073842
178,kismayo,-0.3582,42.5454,25.06,85,48,18.16,SO,1695073842
179,vila velha,-20.3297,-40.2925,23.97,80,0,13.8,BR,1695073656
180,sinjai,-5.1241,120.253,24.58,84,67,3.33,ID,1695073842
181,queenstown,-31.8976,26.8753,7.42,71,0,2.53,ZA,1695073843
182,lauro de freitas,-12.8944,-38.3272,24.01,88,75,14.97,BR,1695073792
183,goba,7.0167,39.9833,11.71,89,100,4.85,ET,1695073843
184,nouadhibou,20.931,-17.0347,25.99,61,100,16.11,MR,1695073843
185,takoradi,4.8845,-1.7554,24.07,93,52,6.69,GH,1695073664
186,bubaque,11.2833,-15.8333,27.79,81,94,8.1,GW,1695073843
187,kailua-kona,19.6406,-155.9956,30.28,76,40,11.5,US,1695073843
188,rifle,39.5347,-107.7831,17.33,55,100,25.32,US,1695073843
189,sal rei,16.1833,-22.9167,26.36,76,67,9.13,CV,1695073843
190,polyarnyy,69.1989,33.4478,5.46,90,100,4.9,RU,1695073616
191,talnakh,69.4865,88.3972,2.34,100,100,5.79,RU,1695073844
192,pontian kechil,1.4866,103.3896,25.56,91,42,5.46,MY,1695073844
193,pailon,-17.65,-62.75,31.82,32,33,10.13,BO,1695073844
194,broken hill,-31.95,141.4333,22.92,17,0,16.06,AU,1695073844
195,taroa,8.7058,171.2275,28.09,77,100,8.32,MH,1695073844
196,tiksi,71.6872,128.8694,-1.04,86,100,10.4,RU,1695073844
197,camamu,-13.9447,-39.1039,22.07,89,46,4.83,BR,1695073802
198,dryden,49.7833,-92.7503,20.16,56,0,12.66,CA,1695073845
199,siwa oasis,29.2041,25.5195,27.83,41,0,9.86,EG,1695073845
200,sterling,39.0062,-77.4286,25.58,52,40,13.8,US,1695073845
201,waingapu,-9.6567,120.2641,22.78,84,15,8.57,ID,1695073845
202,nikolayevsk-on-amure,53.1406,140.73,8.17,97,100,5.21,RU,1695073845
203,samthar,25.85,78.9167,26.93,78,5,5.03,IN,1695073845
204,kargil,34.5667,76.1,11.91,58,90,7.4,IN,1695073845
205,chicholi,21.4667,79.6833,23.25,92,26,1.48,IN,1695073845
206,aoulef,26.9667,1.0833,34.22,8,5,13.65,DZ,1695073845
207,tshela,-4.9833,12.9333,21.94,90,47,2.01,CD,1695073846
208,al kharijah,25.4514,30.5464,27.82,27,0,8.99,EG,1695073846
209,qamdo,31.1667,97.2333,2.37,79,86,2.8,CN,1695073846
210,pacific grove,36.6177,-121.9166,24.34,73,0,10.0,US,1695073846
211,hotan,37.0997,79.9269,22.73,24,100,4.45,CN,1695073846
212,holualoa,19.6228,-155.9522,28.21,76,40,11.5,US,1695073846
213,nar'yan-mar,67.6713,53.087,6.6,96,100,15.68,RU,1695073846
214,kurchum,48.5722,83.6542,13.36,56,100,4.45,KZ,1695073846
215,walvis bay,-22.9575,14.5053,13.94,82,37,6.91,NA,1695073847
216,coutances,49.05,-1.4333,15.38,69,100,13.69,FR,1695073847
217,al kharj,24.155,47.3346,34.32,16,98,7.72,SA,1695073847
218,aasiaat,68.7098,-52.8699,-3.78,81,10,4.32,GL,1695073847
219,karlskoga,59.3267,14.5239,15.62,96,100,10.02,SE,1695073847
220,torbat-e heydariyeh,35.274,59.2195,16.16,26,0,8.08,IR,1695073701
221,port macquarie,-31.4333,152.9167,16.05,62,1,14.03,AU,1695073847
222,christchurch,-43.5333,172.6333,18.04,52,0,4.61,NZ,1695073847
223,fort mcmurray,56.7268,-111.381,17.77,48,20,16.11,CA,1695073847
224,arraial do cabo,-22.9661,-42.0278,22.98,78,0,18.41,BR,1695073847
225,fale old settlement,-9.3852,-171.2468,28.12,80,47,18.88,TK,1695073847
226,at taraf,25.3628,49.725,30.3,38,57,1.66,SA,1695073848
227,morehead city,34.7229,-76.726,26.13,70,0,12.66,US,1695073848
228,constantia,44.1833,28.65,15.39,63,0,4.65,RO,1695073662
229,kuqa,41.7278,82.9364,19.69,45,100,3.18,CN,1695073848
230,korla,41.7597,86.1469,19.21,35,92,6.33,CN,1695073848
231,zhanaozen,43.3,52.8,15.78,69,2,11.18,KZ,1695073551
232,rajpur,22.3,74.35,22.99,95,98,4.34,IN,1695073848
233,abeche,13.8292,20.8324,25.84,67,61,6.67,TD,1695073848
234,mogocha,53.7333,119.7667,-1.64,89,24,4.54,RU,1695073848
235,chernyshevskiy,63.0128,112.4714,-2.34,83,25,4.85,RU,1695073849
236,stanley,54.868,-1.6985,8.73,89,8,13.38,GB,1695073849
237,worland,44.0169,-107.9554,29.64,20,0,5.01,US,1695073849
238,porto seguro,-16.4497,-39.0647,24.29,78,40,4.61,BR,1695073849
239,mukalla,14.5425,49.1242,32.52,52,99,2.04,YE,1695073849
240,kerch,45.3583,36.4758,21.06,60,0,16.31,UA,1695073654
241,lihue,21.9789,-159.3672,28.77,69,40,14.97,US,1695073849
242,nema,57.5067,50.5011,7.91,90,77,8.46,RU,1695073849
243,altus,34.6381,-99.334,34.71,29,0,14.97,US,1695073849
244,bereznik,62.8551,42.7072,4.53,88,56,5.48,RU,1695073849
245,bugembe,0.4797,33.2344,18.7,91,100,1.83,UG,1695073849
246,hermanus,-34.4187,19.2345,9.89,87,62,4.99,ZA,1695073586
247,kaoma,-14.7833,24.8,21.79,20,47,8.88,ZM,1695073850
248,dublin,37.7021,-121.9358,28.71,53,0,12.66,US,1695073715
249,myeik,12.4333,98.6,25.22,90,98,2.91,MM,1695073850
250,bodaybo,57.8506,114.1933,-0.13,86,33,1.23,RU,1695073850
251,kingston,17.997,-76.7936,30.53,79,40,3.44,JM,1695073640
252,whitecourt,54.1502,-115.6855,15.58,38,40,12.66,CA,1695073850
253,leua,48.2156,18.6071,24.16,56,99,11.92,SK,1695073850
254,nishinoomote,30.7333,131.0,26.23,81,3,2.59,JP,1695073850
